Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Month,Day
1993-04-01,0.464286,0.455357,0.462054,0.379582,108203200,0.457589,5.97,0.646865,3.2,4,1
1993-04-02,0.457589,0.441964,0.447545,0.367663,253792000,0.450893,5.97,0.646865,3.2,4,2
1993-04-05,0.450893,0.441964,0.446429,0.366746,149172800,0.446429,5.97,0.646865,3.2,4,5
1993-04-06,0.448661,0.435268,0.435268,0.357577,168369600,0.446429,5.97,0.646865,3.2,4,6
1993-04-07,0.453125,0.433036,0.450893,0.370413,162848000,0.4375,5.97,0.646865,3.2,4,7
1993-04-08,0.450893,0.4375,0.444196,0.364912,163430400,0.446429,5.97,0.646865,3.2,4,8
1993-04-12,0.455357,0.441964,0.446429,0.366746,93049600,0.441964,5.97,0.646865,3.2,4,12
1993-04-13,0.457589,0.430804,0.433036,0.355743,164483200,0.450893,5.97,0.646865,3.2,4,13
1993-04-14,0.435268,0.425223,0.435268,0.357577,170060800,0.430804,5.97,0.646865,3.2,4,14
1993-04-15,0.430804,0.417411,0.421875,0.346575,218702400,0.430804,5.97,0.646865,3.2,4,15
1993-04-16,0.435268,0.422991,0.429688,0.352993,686795200,0.430804,5.97,0.646865,3.2,4,16
1993-04-19,0.441964,0.430804,0.433036,0.355743,227864000,0.433036,5.97,0.646865,3.2,4,19
1993-04-20,0.448661,0.430804,0.446429,0.366746,240049600,0.435268,5.97,0.646865,3.2,4,20
1993-04-21,0.453125,0.439732,0.44308,0.363995,205273600,0.448661,5.97,0.646865,3.2,4,21
1993-04-22,0.450893,0.4375,0.446429,0.366746,157673600,0.439732,5.97,0.646865,3.2,4,22
1993-04-23,0.448661,0.435268,0.439732,0.361244,134142400,0.444196,5.97,0.646865,3.2,4,23
1993-04-26,0.444196,0.433036,0.4375,0.359411,102804800,0.439732,5.97,0.646865,3.2,4,26
1993-04-27,0.448661,0.435268,0.448661,0.36858,129673600,0.435268,5.97,0.646865,3.2,4,27
1993-04-28,0.464286,0.444196,0.458705,0.376831,163240000,0.444196,5.97,0.646865,3.2,4,28
1993-04-29,0.462054,0.447545,0.453125,0.372247,82443200,0.459821,5.97,0.646865,3.2,4,29
1993-04-30,0.46875,0.453125,0.457589,0.375914,132339200,0.453125,5.97,0.646865,3.2,4,30
1993-05-03,0.464286,0.455357,0.46317,0.380499,65184000,0.457589,6.04,0.6460778,3.2,5,3
1993-05-04,0.484375,0.464286,0.476563,0.391501,170822400,0.466518,6.04,0.6460778,3.2,5,4
1993-05-05,0.495536,0.473214,0.486607,0.399753,253064000,0.473214,6.04,0.6460778,3.2,5,5
1993-05-06,0.488839,0.477679,0.479911,0.394252,70459200,0.486607,6.04,0.6460778,3.2,5,6
1993-05-07,0.488839,0.477679,0.488839,0.401586,81894400,0.477679,6.04,0.6460778,3.2,5,7
1993-05-10,0.498884,0.491071,0.491071,0.40342,137928000,0.491071,6.04,0.6460778,3.2,5,10
1993-05-11,0.493304,0.482143,0.486607,0.399753,158379200,0.491071,6.04,0.6460778,3.2,5,11
1993-05-12,0.488839,0.473214,0.475446,0.390584,105224000,0.484375,6.04,0.6460778,3.2,5,12
1993-05-13,0.497768,0.477679,0.495536,0.407088,361726400,0.477679,6.04,0.6460778,3.2,5,13
1993-05-14,0.5,0.491071,0.495536,0.407088,117409600,0.493304,6.04,0.6460778,3.2,5,14
1993-05-17,0.5,0.491071,0.497768,0.408921,69641600,0.495536,6.04,0.6460778,3.2,5,17
1993-05-18,0.502232,0.491071,0.495536,0.407088,163475200,0.495536,6.04,0.6460778,3.2,5,18
1993-05-19,0.513393,0.486607,0.511161,0.419924,172771200,0.488839,6.04,0.6460778,3.2,5,19
1993-05-20,0.526786,0.511161,0.524554,0.430927,290528000,0.511161,6.04,0.6460778,3.2,5,20
1993-05-21,0.527902,0.506696,0.513393,0.421757,148198400,0.524554,6.04,0.6460778,3.2,5,21
1993-05-24,0.524554,0.506696,0.514509,0.422674,150315200,0.506696,6.04,0.6460778,3.2,5,24
1993-05-25,0.513393,0.497768,0.503348,0.413506,180723200,0.506696,6.04,0.6460778,3.2,5,25
1993-05-26,0.515625,0.49442,0.515625,0.423591,121564800,0.5,6.04,0.6460778,3.2,5,26
1993-05-27,0.522321,0.511161,0.513393,0.421757,197288000,0.515625,6.04,0.6460778,3.2,5,27
1993-05-28,0.513393,0.502232,0.50558,0.416207,183948800,0.508929,6.04,0.6460778,3.2,5,28
1993-06-01,0.515625,0.504464,0.508929,0.418964,135072000,0.504464,5.96,0.6625818,3,6,1
