,Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Month,Day
0,1993-04-01,0.46,0.46,0.46,0.38,108203200,0.46,5.97,0.65,3.2,4,1
1,1993-04-02,0.46,0.44,0.45,0.37,253792000,0.45,5.97,0.65,3.2,4,2
2,1993-04-05,0.45,0.44,0.45,0.37,149172800,0.45,5.97,0.65,3.2,4,5
3,1993-04-06,0.45,0.44,0.44,0.36,168369600,0.45,5.97,0.65,3.2,4,6
4,1993-04-07,0.45,0.43,0.45,0.37,162848000,0.44,5.97,0.65,3.2,4,7
5,1993-04-08,0.45,0.44,0.44,0.36,163430400,0.45,5.97,0.65,3.2,4,8
6,1993-04-12,0.46,0.44,0.45,0.37,93049600,0.44,5.97,0.65,3.2,4,12
7,1993-04-13,0.46,0.43,0.43,0.36,164483200,0.45,5.97,0.65,3.2,4,13
8,1993-04-14,0.44,0.43,0.44,0.36,170060800,0.43,5.97,0.65,3.2,4,14
9,1993-04-15,0.43,0.42,0.42,0.35,218702400,0.43,5.97,0.65,3.2,4,15
10,1993-04-16,0.44,0.42,0.43,0.35,686795200,0.43,5.97,0.65,3.2,4,16
11,1993-04-19,0.44,0.43,0.43,0.36,227864000,0.43,5.97,0.65,3.2,4,19
12,1993-04-20,0.45,0.43,0.45,0.37,240049600,0.44,5.97,0.65,3.2,4,20
13,1993-04-21,0.45,0.44,0.44,0.36,205273600,0.45,5.97,0.65,3.2,4,21
14,1993-04-22,0.45,0.44,0.45,0.37,157673600,0.44,5.97,0.65,3.2,4,22
15,1993-04-23,0.45,0.44,0.44,0.36,134142400,0.44,5.97,0.65,3.2,4,23
16,1993-04-26,0.44,0.43,0.44,0.36,102804800,0.44,5.97,0.65,3.2,4,26
17,1993-04-27,0.45,0.44,0.45,0.37,129673600,0.44,5.97,0.65,3.2,4,27
18,1993-04-28,0.46,0.44,0.46,0.38,163240000,0.44,5.97,0.65,3.2,4,28
19,1993-04-29,0.46,0.45,0.45,0.37,82443200,0.46,5.97,0.65,3.2,4,29
20,1993-04-30,0.47,0.45,0.46,0.38,132339200,0.45,5.97,0.65,3.2,4,30
21,1993-05-03,0.46,0.46,0.46,0.38,65184000,0.46,6.04,0.65,3.2,5,3
22,1993-05-04,0.48,0.46,0.48,0.39,170822400,0.47,6.04,0.65,3.2,5,4
23,1993-05-05,0.5,0.47,0.49,0.4,253064000,0.47,6.04,0.65,3.2,5,5
24,1993-05-06,0.49,0.48,0.48,0.39,70459200,0.49,6.04,0.65,3.2,5,6
25,1993-05-07,0.49,0.48,0.49,0.4,81894400,0.48,6.04,0.65,3.2,5,7
26,1993-05-10,0.5,0.49,0.49,0.4,137928000,0.49,6.04,0.65,3.2,5,10
27,1993-05-11,0.49,0.48,0.49,0.4,158379200,0.49,6.04,0.65,3.2,5,11
28,1993-05-12,0.49,0.47,0.48,0.39,105224000,0.48,6.04,0.65,3.2,5,12
29,1993-05-13,0.5,0.48,0.5,0.41,361726400,0.48,6.04,0.65,3.2,5,13
30,1993-05-14,0.5,0.49,0.5,0.41,117409600,0.49,6.04,0.65,3.2,5,14
