Date,High,Low,Adj Close,Open,Volume,Close,Interest,Currency,Inflation,Day,Month
2012-05-21,36.66,33,34.029999,36.529999,168192700,34.029999,1.8,0.6286087,1.7,21,5
2012-05-22,33.59,30.940001,31,32.610001,101786600,31,1.8,0.6286087,1.7,22,5
2012-05-23,32.5,31.360001,32,31.370001,73600000,32,1.8,0.6286087,1.7,23,5
2012-05-24,33.209999,31.77,33.029999,32.950001,50237200,33.029999,1.8,0.6286087,1.7,24,5
2012-05-25,32.950001,31.110001,31.91,32.900002,37149800,31.91,1.8,0.6286087,1.7,25,5
2012-05-30,29.549999,27.860001,28.190001,28.700001,57267900,28.190001,1.8,0.6286087,1.7,30,5
2012-05-31,29.67,26.83,29.6,28.549999,111639200,29.6,1.8,0.6286087,1.7,31,5
2012-06-01,29.15,27.389999,27.719999,28.889999,41855500,27.719999,1.62,0.6431429,1.7,1,6
2012-06-04,27.65,26.440001,26.9,27.200001,35230300,26.9,1.62,0.6431429,1.7,4,6
2012-06-05,27.76,25.75,25.870001,26.700001,42473400,25.870001,1.62,0.6431429,1.7,5,6
2012-06-06,27.17,25.52,26.809999,26.07,61489200,26.809999,1.62,0.6431429,1.7,6,6
2012-06-07,27.35,26.15,26.309999,27,26159500,26.309999,1.62,0.6431429,1.7,7,6
2012-06-08,27.76,26.440001,27.1,26.549999,38034000,27.1,1.62,0.6431429,1.7,8,6
2012-06-11,28.07,26.84,27.01,27.18,28219600,27.01,1.62,0.6431429,1.7,11,6
2012-06-12,27.77,26.959999,27.4,27.48,15816800,27.4,1.62,0.6431429,1.7,12,6
2012-06-13,28.1,27.1,27.27,27.66,17102800,27.27,1.62,0.6431429,1.7,13,6
2012-06-14,28.32,27.379999,28.290001,27.65,16855000,28.290001,1.62,0.6431429,1.7,14,6
2012-06-15,30.1,28.35,30.01,28.51,43563800,30.01,1.62,0.6431429,1.7,15,6
2012-06-18,32.080002,29.41,31.41,29.959999,42978900,31.41,1.62,0.6431429,1.7,18,6
2012-06-19,32.18,30.700001,31.91,31.540001,30849000,31.91,1.62,0.6431429,1.7,19,6
2012-06-20,31.93,31.15,31.6,31.92,15553600,31.6,1.62,0.6431429,1.7,20,6
2012-06-21,32.5,31.51,31.84,31.67,21875300,31.84,1.62,0.6431429,1.7,21,6
2012-06-22,33.450001,32.060001,33.049999,32.41,74834000,33.049999,1.62,0.6431429,1.7,22,6
2012-06-25,33.02,31.549999,32.060001,32.860001,24352900,32.060001,1.62,0.6431429,1.7,25,6
2012-06-26,33.439999,32.5,33.099998,32.689999,24858700,33.099998,1.62,0.6431429,1.7,26,6
2012-06-27,32.900002,31.9,32.23,32.459999,28568000,32.23,1.62,0.6431429,1.7,27,6
2012-06-28,32.189999,30.9,31.360001,31.959999,17713300,31.360001,1.62,0.6431429,1.7,28,6
2012-06-29,31.99,30.76,31.1,31.92,19526900,31.1,1.62,0.6431429,1.7,29,6
2012-07-02,31.73,30.549999,30.77,31.25,14122000,30.77,1.53,0.6415455,1.4,2,7
2012-07-03,31.440001,30.799999,31.200001,30.91,8763600,31.200001,1.53,0.6415455,1.4,3,7
2012-07-05,31.629999,31.02,31.469999,31.32,10032100,31.469999,1.53,0.6415455,1.4,5,7
2012-07-06,31.9,31.26,31.73,31.440001,10945600,31.73,1.53,0.6415455,1.4,6,7
2012-07-09,32.880001,31.99,32.169998,32.099998,17785200,32.169998,1.53,0.6415455,1.4,9,7
2012-07-10,32.48,31.16,31.469999,32.43,14269500,31.469999,1.53,0.6415455,1.4,10,7
2012-07-11,31.559999,30.549999,30.969999,31.48,13030300,30.969999,1.53,0.6415455,1.4,11,7
2012-07-12,31.4,30.6,30.809999,30.700001,11300700,30.809999,1.53,0.6415455,1.4,12,7
2012-07-13,31.07,30.559999,30.719999,31.040001,8108300,30.719999,1.53,0.6415455,1.4,13,7
2012-07-16,30.5,28.209999,28.25,30.5,24672100,28.25,1.53,0.6415455,1.4,16,7
2012-07-17,28.59,27.15,28.09,28.48,30438600,28.09,1.53,0.6415455,1.4,17,7
2012-07-18,29.290001,28.15,29.110001,28.309999,16841800,29.110001,1.53,0.6415455,1.4,18,7
2012-07-19,29.5,28.629999,29,29.41,13685100,29,1.53,0.6415455,1.4,19,7
2012-07-20,29.469999,28.719999,28.76,29,11869100,28.76,1.53,0.6415455,1.4,20,7
2012-07-23,29,28.01,28.75,28.120001,12390700,28.75,1.53,0.6415455,1.4,23,7
2012-07-24,29.450001,28.1,28.450001,28.82,11539800,28.450001,1.53,0.6415455,1.4,24,7
2012-07-25,29.49,28.08,29.34,28.389999,17230200,29.34,1.53,0.6415455,1.4,25,7
2012-07-26,28.23,26.73,26.85,27.75,64597400,26.85,1.53,0.6415455,1.4,26,7
2012-07-27,24.540001,22.280001,23.709999,23.190001,123102300,23.709999,1.53,0.6415455,1.4,27,7
2012-07-30,24.040001,23.030001,23.15,24,29285900,23.15,1.53,0.6415455,1.4,30,7
2012-07-31,23.370001,21.610001,21.709999,23.370001,56179400,21.709999,1.53,0.6415455,1.4,31,7
2012-08-01,21.58,20.84,20.879999,21.5,44604400,20.879999,1.68,0.6361739,1.7,1,8
2012-08-02,20.84,19.82,20.040001,20.77,56374500,20.040001,1.68,0.6361739,1.7,2,8
2012-08-03,22.16,19.9,21.09,20.360001,80647000,21.09,1.68,0.6361739,1.7,3,8
2012-08-06,22.15,21.299999,21.92,21.389999,27778900,21.92,1.68,0.6361739,1.7,6,8
2012-08-07,22.450001,20.5,20.719999,22.200001,36782900,20.719999,1.68,0.6361739,1.7,7,8
2012-08-08,21.15,20.219999,20.719999,20.709999,29537400,20.719999,1.68,0.6361739,1.7,8,8
2012-08-09,21.17,20.610001,21.01,20.75,15610700,21.01,1.68,0.6361739,1.7,9,8
2012-08-10,21.82,21.129999,21.809999,21.41,25794700,21.809999,1.68,0.6361739,1.7,10,8
2012-08-13,22.450001,21.4,21.6,22.15,24973100,21.6,1.68,0.6361739,1.7,13,8
2012-08-14,21.6,20.25,20.379999,21.41,39308800,20.379999,1.68,0.6361739,1.7,14,8
2012-08-15,21.41,20.4,21.200001,20.639999,47861100,21.200001,1.68,0.6361739,1.7,15,8
2012-08-16,20.48,19.690001,19.870001,20.440001,157565300,19.870001,1.68,0.6361739,1.7,16,8
2012-08-17,20.08,19,19.049999,20.01,129293400,19.049999,1.68,0.6361739,1.7,17,8
2012-08-20,20.129999,18.75,20.01,19.049999,101186600,20.01,1.68,0.6361739,1.7,20,8
2012-08-21,19.98,19.09,19.16,19.58,70640600,19.16,1.68,0.6361739,1.7,21,8
2012-08-22,19.530001,18.959999,19.440001,19.360001,49892200,19.440001,1.68,0.6361739,1.7,22,8
2012-08-23,19.73,19.360001,19.440001,19.5,32813700,19.440001,1.68,0.6361739,1.7,23,8
2012-08-24,19.68,19.25,19.41,19.52,29622200,19.41,1.68,0.6361739,1.7,24,8
2012-08-27,19.530001,19.1,19.15,19.49,20704000,19.15,1.68,0.6361739,1.7,27,8
2012-08-28,19.379999,18.950001,19.34,19.1,25417000,19.34,1.68,0.6361739,1.7,28,8
2012-08-29,19.379999,19.07,19.1,19.32,16124700,19.1,1.68,0.6361739,1.7,29,8
2012-08-30,19.450001,19.059999,19.09,19.27,30647500,19.09,1.68,0.6361739,1.7,30,8
2012-08-31,18.700001,18.030001,18.059999,18.68,58764200,18.059999,1.68,0.6361739,1.7,31,8
2012-09-04,18.27,17.549999,17.73,18.08,46622400,17.73,1.72,0.6207,2,4,9
2012-09-05,18.75,18.18,18.58,18.27,60781800,18.58,1.72,0.6207,2,5,9
2012-09-06,19.26,18.719999,18.959999,18.74,46066500,18.959999,1.72,0.6207,2,6,9
2012-09-07,19.42,18.780001,18.98,19.1,36371700,18.98,1.72,0.6207,2,7,9
2012-09-10,19.200001,18.549999,18.809999,19.059999,24797800,18.809999,1.72,0.6207,2,10,9
2012-09-11,19.58,18.85,19.43,18.92,50508200,19.43,1.72,0.6207,2,11,9
2012-09-12,21.16,20.280001,20.93,20.76,121584000,20.93,1.72,0.6207,2,12,9
2012-09-13,21.48,20.610001,20.709999,20.959999,65041600,20.709999,1.72,0.6207,2,13,9
2012-09-14,22.08,20.9,22,21.129999,72819800,22,1.72,0.6207,2,14,9
2012-09-17,22.75,21.5,21.52,22.67,50667600,21.52,1.72,0.6207,2,17,9
2012-09-18,21.98,21.370001,21.870001,21.6,36760500,21.870001,1.72,0.6207,2,18,9
2012-09-19,23.370001,21.77,23.290001,21.99,78782800,23.290001,1.72,0.6207,2,19,9
2012-09-20,23.24,22.540001,22.59,23.02,57248900,22.59,1.72,0.6207,2,20,9
2012-09-21,23.24,22.6,22.860001,22.969999,51218100,22.860001,1.72,0.6207,2,21,9
2012-09-24,21.98,20.360001,20.790001,21.780001,79106500,20.790001,1.72,0.6207,2,24,9
2012-09-25,21.209999,20.219999,20.280001,21.200001,46291700,20.280001,1.72,0.6207,2,25,9
2012-09-26,20.780001,19.799999,20.620001,20.15,38271900,20.620001,1.72,0.6207,2,26,9
2012-09-27,21,20.16,20.32,20.99,30215900,20.32,1.72,0.6207,2,27,9
2012-09-28,21.950001,20.5,21.66,20.57,65486000,21.66,1.72,0.6207,2,28,9
2012-10-01,22.59,21.73,21.99,22.08,51262700,21.99,1.75,0.6219565,2.2,1,10
2012-10-02,22.49,21.82,22.27,22.08,29341400,22.27,1.75,0.6219565,2.2,2,10
2012-10-03,22.49,21.799999,21.83,22.299999,32000100,21.83,1.75,0.6219565,2.2,3,10
2012-10-04,22.4,21.41,21.950001,22.32,46892100,21.950001,1.75,0.6219565,2.2,4,10
2012-10-05,21.629999,20.879999,20.91,21.49,40529300,20.91,1.75,0.6219565,2.2,5,10
2012-10-08,20.75,20.16,20.4,20.4,32236700,20.4,1.75,0.6219565,2.2,8,10
2012-10-09,20.549999,19.969999,20.23,20.389999,27161800,20.23,1.75,0.6219565,2.2,9,10
2012-10-10,19.940001,19.450001,19.639999,19.93,39321800,19.639999,1.75,0.6219565,2.2,10,10
2012-10-11,19.959999,19.610001,19.75,19.879999,21817300,19.75,1.75,0.6219565,2.2,11,10
2012-10-12,19.799999,19.48,19.52,19.75,18809400,19.52,1.75,0.6219565,2.2,12,10
2012-10-15,19.879999,19.49,19.52,19.68,20189700,19.52,1.75,0.6219565,2.2,15,10
2012-10-16,19.690001,19.299999,19.48,19.68,21834700,19.48,1.75,0.6219565,2.2,16,10
2012-10-17,20.48,19.370001,19.879999,19.5,44074500,19.879999,1.75,0.6219565,2.2,17,10
2012-10-18,19.790001,18.889999,18.98,19.700001,52157400,18.98,1.75,0.6219565,2.2,18,10
2012-10-19,19.059999,18.799999,19,19,34835000,19,1.75,0.6219565,2.2,19,10
2012-10-22,19.43,19.049999,19.32,19.200001,32447300,19.32,1.75,0.6219565,2.2,22,10
2012-10-23,19.799999,19.1,19.5,19.25,78381200,19.5,1.75,0.6219565,2.2,23,10
2012-10-24,24.25,22.85,23.23,24.129999,228949900,23.23,1.75,0.6219565,2.2,24,10
2012-10-25,23.309999,22.469999,22.559999,23.290001,76142000,22.559999,1.75,0.6219565,2.2,25,10
2012-10-26,22.879999,21.879999,21.940001,22.4,73175800,21.940001,1.75,0.6219565,2.2,26,10
2012-10-31,21.5,20.73,21.110001,20.82,99378200,21.110001,1.75,0.6219565,2.2,31,10
2012-11-01,21.440001,21.01,21.209999,21.08,37713900,21.209999,1.65,0.6265454,1.8,1,11
2012-11-02,21.690001,21.07,21.18,21.26,38344400,21.18,1.65,0.6265454,1.8,2,11
2012-11-05,21.48,20.92,21.25,21.1,31806700,21.25,1.65,0.6265454,1.8,5,11
2012-11-06,21.370001,20.99,21.17,21.24,29062700,21.17,1.65,0.6265454,1.8,6,11
2012-11-07,20.950001,20.370001,20.469999,20.85,33396800,20.469999,1.65,0.6265454,1.8,7,11
2012-11-08,20.73,19.98,19.99,20.52,34254600,19.99,1.65,0.6265454,1.8,8,11
2012-11-09,20,19.129999,19.209999,19.959999,42295500,19.209999,1.65,0.6265454,1.8,9,11
2012-11-12,20.17,18.870001,20.07,19.15,67349200,20.07,1.65,0.6265454,1.8,12,11
2012-11-13,20.110001,19.559999,19.860001,19.610001,71775100,19.860001,1.65,0.6265454,1.8,13,11
2012-11-14,22.5,19.93,22.360001,20.1,229751000,22.360001,1.65,0.6265454,1.8,14,11
2012-11-15,22.5,21.65,22.17,22.34,78857700,22.17,1.65,0.6265454,1.8,15,11
2012-11-16,23.93,22.18,23.559999,22.25,107182200,23.559999,1.65,0.6265454,1.8,16,11
2012-11-19,24.120001,22.82,22.92,23.959999,85021300,22.92,1.65,0.6265454,1.8,19,11
2012-11-20,23.9,22.700001,23.1,22.73,46655300,23.1,1.65,0.6265454,1.8,20,11
2012-11-21,24.530001,23.049999,24.32,23.219999,89862400,24.32,1.65,0.6265454,1.8,21,11
2012-11-23,24.68,23.879999,24,24.58,29520900,24,1.65,0.6265454,1.8,23,11
2012-11-26,26.09,24.809999,25.940001,24.940001,123865000,25.940001,1.65,0.6265454,1.8,26,11
2012-11-27,26.5,25.459999,26.15,26.040001,85760600,26.15,1.65,0.6265454,1.8,27,11
2012-11-28,26.49,25.75,26.360001,25.940001,49205600,26.360001,1.65,0.6265454,1.8,28,11
2012-11-29,27.52,26.16,27.32,26.5,88759700,27.32,1.65,0.6265454,1.8,29,11
2012-11-30,28,26.76,28,27.26,127049600,28,1.65,0.6265454,1.8,30,11
2012-12-03,28.879999,26.98,27.040001,28,123526100,27.040001,1.72,0.6195238,1.7,3,12
2012-12-04,27.76,26.68,27.459999,27.059999,72869200,27.459999,1.72,0.6195238,1.7,4,12
2012-12-05,27.9,27.26,27.709999,27.75,58976300,27.709999,1.72,0.6195238,1.7,5,12
2012-12-06,27.75,26.82,26.969999,27.68,46001500,26.969999,1.72,0.6195238,1.7,6,12
2012-12-07,27.780001,26.84,27.49,27.07,51751900,27.49,1.72,0.6195238,1.7,7,12
2012-12-10,28.17,27.1,27.84,27.17,50608500,27.84,1.72,0.6195238,1.7,10,12
2012-12-11,28.24,27.66,27.98,28.07,77099100,27.98,1.72,0.6195238,1.7,11,12
2012-12-12,28.139999,27.370001,27.58,28,46704200,27.58,1.72,0.6195238,1.7,12,12
2012-12-13,28.75,27.43,28.24,27.59,81051600,28.24,1.72,0.6195238,1.7,13,12
2012-12-14,28.33,26.76,26.809999,28.18,91631600,26.809999,1.72,0.6195238,1.7,14,12
2012-12-17,27,26.32,26.75,26.77,57742500,26.75,1.72,0.6195238,1.7,17,12
2012-12-18,27.91,26.9,27.709999,26.959999,60512900,27.709999,1.72,0.6195238,1.7,18,12
2012-12-19,28.219999,26.950001,27.41,27.83,61390300,27.41,1.72,0.6195238,1.7,19,12
2012-12-20,27.6,27.129999,27.360001,27.49,35574800,27.360001,1.72,0.6195238,1.7,20,12
2012-12-21,27.01,26.120001,26.26,26.66,54555200,26.26,1.72,0.6195238,1.7,21,12
2012-12-24,26.959999,26.200001,26.93,26.5,28230100,26.93,1.72,0.6195238,1.7,24,12
2012-12-26,27.18,26.379999,26.51,27.030001,33175400,26.51,1.72,0.6195238,1.7,26,12
2012-12-27,26.799999,25.52,26.049999,26.549999,43481700,26.049999,1.72,0.6195238,1.7,27,12
2012-12-28,26.110001,25.15,25.91,25.48,56574800,25.91,1.72,0.6195238,1.7,28,12
2012-12-31,26.99,26.110001,26.620001,26.200001,60374500,26.620001,1.72,0.6195238,1.7,31,12
2013-01-02,28.18,27.42,28,27.440001,69846400,28,1.91,0.6261739,1.6,2,1
2013-01-03,28.469999,27.59,27.77,27.879999,63140600,27.77,1.91,0.6261739,1.6,3,1
2013-01-04,28.93,27.83,28.76,28.01,72715400,28.76,1.91,0.6261739,1.6,4,1
2013-01-07,29.790001,28.65,29.42,28.690001,83781800,29.42,1.91,0.6261739,1.6,7,1
2013-01-08,29.6,28.860001,29.059999,29.51,45871300,29.059999,1.91,0.6261739,1.6,8,1
2013-01-09,30.6,29.49,30.59,29.67,104787700,30.59,1.91,0.6261739,1.6,9,1
2013-01-10,31.450001,30.280001,31.299999,30.6,95316400,31.299999,1.91,0.6261739,1.6,10,1
2013-01-11,31.959999,31.1,31.719999,31.280001,89598000,31.719999,1.91,0.6261739,1.6,11,1
2013-01-14,32.209999,30.620001,30.950001,32.080002,98892800,30.950001,1.91,0.6261739,1.6,14,1
2013-01-15,31.709999,29.879999,30.1,30.639999,173242600,30.1,1.91,0.6261739,1.6,15,1
2013-01-16,30.35,29.530001,29.85,30.209999,75332700,29.85,1.91,0.6261739,1.6,16,1
2013-01-17,30.42,30.030001,30.139999,30.08,40256700,30.139999,1.91,0.6261739,1.6,17,1
2013-01-18,30.440001,29.27,29.66,30.309999,49631500,29.66,1.91,0.6261739,1.6,18,1
2013-01-22,30.889999,29.74,30.73,29.75,55243300,30.73,1.91,0.6261739,1.6,22,1
2013-01-23,31.5,30.799999,30.82,31.1,48899800,30.82,1.91,0.6261739,1.6,23,1
2013-01-24,31.49,30.809999,31.08,31.27,43845100,31.08,1.91,0.6261739,1.6,24,1
2013-01-25,31.93,31.129999,31.540001,31.41,54363600,31.540001,1.91,0.6261739,1.6,25,1
2013-01-28,32.509998,31.809999,32.470001,31.879999,59682500,32.470001,1.91,0.6261739,1.6,28,1
2013-01-29,32.07,30.709999,30.790001,32,72976500,30.790001,1.91,0.6261739,1.6,29,1
2013-01-30,31.49,30.879999,31.24,30.98,87682100,31.24,1.91,0.6261739,1.6,30,1
2013-01-31,31.469999,28.74,30.98,29.15,190744900,30.98,1.91,0.6261739,1.6,31,1
2013-02-01,31.02,29.629999,29.73,31.01,85856700,29.73,1.98,0.6465,2,1,2
