Date,Open,High,Low,Close,Adj Close,Volume,Interest,Currency,Inflation,Day,Month
1993-04-01,2.890625,2.960938,2.890625,2.90625,1.813204,100412800,5.97,0.646865,3.2,1,4
1993-04-02,2.867188,2.875,2.804688,2.804688,1.74984,73251200,5.97,0.646865,3.2,2,4
1993-04-05,2.773438,2.882813,2.75,2.859375,1.783959,61187200,5.97,0.646865,3.2,5,4
1993-04-06,2.867188,2.90625,2.789063,2.804688,1.74984,55699200,5.97,0.646865,3.2,6,4
1993-04-07,2.8125,2.828125,2.789063,2.820313,1.759589,39417600,5.97,0.646865,3.2,7,4
1993-04-08,2.8125,2.820313,2.757813,2.78125,1.735217,40185600,5.97,0.646865,3.2,8,4
1993-04-12,2.773438,2.851563,2.765625,2.816406,1.75715,48976000,5.97,0.646865,3.2,12,4
1993-04-13,2.820313,2.882813,2.773438,2.777344,1.73278,53337600,5.97,0.646865,3.2,13,4
1993-04-14,2.78125,2.820313,2.742188,2.78125,1.735217,38592000,5.97,0.646865,3.2,14,4
1993-04-15,2.75,2.808594,2.6875,2.722656,1.69866,109152000,5.97,0.646865,3.2,15,4
1993-04-16,2.726563,2.742188,2.671875,2.71875,1.696223,49600000,5.97,0.646865,3.2,16,4
1993-04-19,2.71875,2.726563,2.65625,2.71875,1.696223,45673600,5.97,0.646865,3.2,19,4
1993-04-20,2.710938,2.734375,2.65625,2.710938,1.69135,46009600,5.97,0.646865,3.2,20,4
1993-04-21,2.710938,2.710938,2.632813,2.652344,1.654793,92528000,5.97,0.646865,3.2,21,4
1993-04-22,2.640625,2.65625,2.589844,2.601563,1.62311,79872000,5.97,0.646865,3.2,22,4
1993-04-23,2.59375,2.601563,2.523438,2.542969,1.586554,89296000,5.97,0.646865,3.2,23,4
1993-04-26,2.546875,2.578125,2.492188,2.511719,1.567056,65376000,5.97,0.646865,3.2,26,4
1993-04-27,2.515625,2.585938,2.507813,2.578125,1.608487,58208000,5.97,0.646865,3.2,27,4
1993-04-28,2.59375,2.6875,2.585938,2.6875,1.676727,55372800,5.97,0.646865,3.2,28,4
1993-04-29,2.679688,2.679688,2.625,2.671875,1.666978,49660800,5.97,0.646865,3.2,29,4
1993-04-30,2.65625,2.710938,2.65625,2.671875,1.666978,46825600,5.97,0.646865,3.2,30,4
1993-05-03,2.671875,2.71875,2.65625,2.691406,1.679164,38096000,6.04,0.6460778,3.2,3,5
1993-05-04,2.710938,2.765625,2.703125,2.75,1.71572,49664000,6.04,0.6460778,3.2,4,5
1993-05-05,2.75,2.8125,2.734375,2.789063,1.740092,51868800,6.04,0.6460778,3.2,5,5
1993-05-06,2.78125,2.804688,2.710938,2.726563,1.701098,47244800,6.04,0.6460778,3.2,6,5
1993-05-07,2.726563,2.742188,2.703125,2.71875,1.696223,31798400,6.04,0.6460778,3.2,7,5
1993-05-10,2.765625,2.8125,2.75,2.785156,1.737655,69091200,6.04,0.6460778,3.2,10,5
